Year,HIVdeath
1990,290000
1991,360000
1992,460000
1993,560000
1994,690000
1995,820000
1996,950000
1997,1100000
1998,1200000
1999,1400000
2000,1500000
2001,1700000
2002,1800000
2003,1900000
2004,1900000
2005,1900000
2006,1900000
2007,1800000
2008,1700000
2009,1500000
2010,1400000
2011,1300000
2012,1200000
2013,1200000
2014,1100000
2015,1000000
2016,990000
2017,940000
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,