Year,LifeExpected
1960,52.57165828
1961,53.07747283
1962,53.50159772
1963,54.03553021
1964,54.71522208
1965,55.38452678
1966,56.12542524
1967,56.83960203
1968,57.44605654
1969,58.06030925
1970,58.65334822
1971,59.17993671
1972,59.66533744
1973,60.11223648
1974,60.60470033
1975,61.04644453
1976,61.46262556
1977,61.87987759
1978,62.23346054
1979,62.58794201
1980,62.86658706
1981,63.19966941
1982,63.51723266
1983,63.75752614
1984,64.01585572
1985,64.2667536
1986,64.56414906
1987,64.81565134
1988,65.0220931
1989,65.24091791
1990,65.4351536
1991,65.62381916
1992,65.78861943
1993,65.91518222
1994,66.12522802
1995,66.32317923
1996,66.61279199
1997,66.91152404
1998,67.17247803
1999,67.40572206
2000,67.6849978
2001,67.98361541
2002,68.24991656
2003,68.52430168
2004,68.86333779
2005,69.1362133
2006,69.47497542
2007,69.79430518
2008,70.08345959
2009,70.40560464
2010,70.68292582
2011,70.97181587
2012,71.21534399
2013,71.46013487
2014,71.69413403
2015,71.85712676
2016,72.03533693
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,