Year,FPopulation0_4,FPopulation5_9,FPopulation10_14,FPopulation15_19,FPopulation20_24,FPopulation25_29,FPopulation30_34,FPopulation35_39,FPopulation40_44,FPopulation45_49,FPopulation50_54,FPopulation55_59,FPopulation60_64,FPopulation65_69,FPopulation70_74,FPopulation75_79,FPopulation80Plus,OverallFemalePopulation
1960,211724543,186857627,151805202,126045301,121895905,111259680,103227893,92208497,77853427,75972659,66910064,57064499,45638397,34700232,25208607,15391801,11150594,1514914928
1961,212205217,191063872,157353526,128268063,121679261,112230193,103876149,93847934,78756187,75494315,67835851,57848653,46467785,35189162,25519764,15866944,11899403,1535402279
1962,215847696,194227631,163599862,131927003,121094397,113830004,104516450,95398488,80709001,74616570,69066072,58751418,47487517,35876090,25823069,16345437,12506043,1561622748
1963,221856249,196436374,170513101,136949817,120760608,115862323,105377251,96959195,83446656,73811264,70430478,59862250,48708155,36773196,26205743,16828334,12957816,1593738810
1964,228099312,197712074,176941014,142628915,121210178,117535686,106403497,98378011,86197986,73512433,71433858,61086542,49981587,37781284,26690299,17260059,13228933,1626081668
1965,233827451,199327310,182210428,148777771,123051390,118652198,107784517,99766728,88662313,74154199,71958880,62461633,51319690,38912937,27330186,17646175,13312423,1659156229
1966,241222326,202953019,185894128,154866737,125716926,118922869,109206644,100791704,90693457,75390554,71767749,63609490,52438489,39969298,27982139,18089324,14257709,1693772562
1967,246220595,207603680,188668625,161590215,129623644,118638346,111122972,101674360,92507512,77575551,71082934,64955656,53569671,41151035,28752777,18464439,15069550,1728271562
1968,249535823,213161132,190925079,168457607,134564280,118311596,113218683,102539167,94103106,80379336,70292636,66307106,54736659,42433491,29653572,18828938,15703922,1763152133
1969,252408534,219075704,193508445,174837744,140287140,118860036,115060944,103676576,95626277,83297401,70086326,67403701,56032714,43814077,30706445,19275866,16135621,1800093551
1970,255542065,224213415,196882667,180127576,146363006,120658286,116215347,105078331,97016954,85848753,70773246,67983124,57410023,45209459,31862970,19835760,16329369,1837350351
1971,259021764,229683185,200840510,184103627,152802675,123639631,116778183,106790253,98225590,88041943,72220745,67849336,58634471,46279897,32852038,20512717,17322728,1875599293
1972,261368385,234821828,205620798,186865947,159716146,127768656,116722484,108935276,99251075,89947377,74580433,67221849,60022454,47374159,33907801,21225117,18119028,1913468813
1973,262986791,239402242,211004637,188966852,166589310,132815816,116562475,111174210,100219335,91570647,77489572,66508494,61348500,48523054,35020939,21964975,18720312,1950868161
1974,264099528,243327460,216553140,191413173,172798563,138517100,117207788,113073219,101416978,93076337,80433997,66395046,62366468,49803668,36207097,22758211,19155533,1988603306
1975,264831347,246371937,221708501,194716075,177834095,144506689,119085335,114290672,102890189,94479610,82998841,67202072,62909269,51180404,37443671,23614475,19418668,2025481850
1976,265258202,249742234,226485301,198618730,181604024,150699409,121891463,114792083,104522398,95589006,85046042,68596295,62775040,52249706,38455189,24447219,20619354,2061391695
1977,265097894,252342603,231132049,203365472,184227429,157369310,125856338,114695802,106611358,96569313,86847351,70895726,62221621,53508716,39481787,25342448,21627799,2097193016
1978,264876768,254143913,235661715,208727323,186339781,164064101,130819854,114537708,108867793,97565276,88453260,73774581,61642466,54809520,40559055,26319155,22436531,2133598800
1979,265311652,255217473,239868725,214216448,188851870,170103022,136416752,115128141,110773623,98770423,89950881,76675411,61631189,55878177,41731614,27359235,23062977,2170947613
1980,266897984,255692345,243354048,219419818,192235360,175031803,142294093,116936480,112001818,100257772,91364837,79213812,62507694,56539315,43010332,28433535,23525144,2208716190
1981,268907119,256994132,246290738,224393254,196360972,179064165,148568368,119885567,112597899,101969009,92511334,81205758,63898127,56402805,44046513,29328443,25082052,2247506255
1982,272579974,257846967,248732172,229247502,201234495,181925749,155289185,123955739,112569691,104099726,93507692,82947293,66126293,55855034,45228850,30165549,26431002,2287742913
1983,277399288,258213839,250686571,233762554,206550058,184099617,161959545,128912581,112428203,106312990,94468284,84473367,68832335,55285876,46395410,31010812,27539032,2328330362
1984,282669661,258408457,252152063,237755919,211866419,186507498,167920353,134409018,113004369,108127512,95606689,85892275,71512782,55278116,47308967,31935225,28405399,2368760722
1985,288110315,259024024,253119526,241239114,216980584,189804245,172855291,140239318,114843029,109329719,97074293,87291933,73901081,56165070,47876640,32976797,29058241,2409889220
1986,295610881,261392010,253475978,243808271,221598712,193698981,176570613,146273845,117609190,109781867,98603721,88278219,75697707,57356836,47688416,33901058,30834634,2452180939
1987,301747243,265066562,253691637,246076336,226160510,198393123,179266113,152808107,121562265,109707931,100621435,89188595,77349924,59375676,47155875,34932195,32355500,2495459027
1988,306491247,269868472,253942609,247978394,230492431,203562765,181457724,159347601,126486260,109596634,102802170,90136318,78872442,61911754,46649519,35944154,33624176,2539164670
1989,309749476,275206475,254749008,249509053,234452705,208780297,184013132,165265148,132023926,110250352,104664499,91321531,80339844,64508183,46705607,36729781,34677786,2582946803
1990,311814831,280311141,256725065,250838572,238078077,213872305,187488933,170271328,137934486,112197851,105966642,92870631,81806946,66893051,47620021,37199538,35541879,2627431297
1991,314299027,285794031,259415349,251244504,240880768,218681209,191429267,174096778,143893964,115036795,106474652,94395198,82749429,68536536,48838148,37099345,37605196,2670470196
1992,312642130,291550317,263287176,251441247,243347810,223471169,196187664,176991094,150399922,119053767,106524810,96462104,83694144,70105667,50774915,36712284,39470364,2712116584
1993,308525323,297366285,268188024,251909757,245516248,228168612,201615820,179476440,157066921,124047707,106602383,98741272,84733569,71622699,53123968,36385254,40983798,2754074080
1994,303933316,302333364,273548882,253040764,247149470,232355777,207087788,182203645,163125073,129573227,107394329,100669693,85994045,73094260,55454202,36551167,41953885,2795462887
1995,300512883,305610396,279168928,255240897,248344943,235945973,212329436,185740233,168194826,135388433,109375354,102003512,87576817,74553670,57567554,37424868,42350887,2837329610
1996,294822264,307917859,285146673,258408839,249497428,239335582,217562915,190049180,172393911,141633395,112360952,102677503,89222427,75581130,59182715,38669163,43854503,2878316439
1997,292544989,307495210,291269881,262356914,249956558,242001774,222461431,194944256,175345825,148241821,116363001,102771887,91253448,76506481,60651218,40369264,44819762,2919353720
1998,292753070,304410270,297200902,267038460,250231410,244033213,226943027,200236285,177626921,154793118,121212624,102804200,93389889,77477768,62027191,42317692,45419499,2959915539
1999,293681772,299834075,302051117,272320903,251125657,245593598,230991979,205604298,180213411,160740378,126649004,103590075,95238596,78724830,63399230,44255724,45900117,2999914764
2000,294147567,295574271,304751663,277986761,253120963,246766565,234564108,210787638,183667611,165734157,132440212,105594761,96578039,80336381,64800565,46050306,46390915,3039292483
2001,296320220,292999008,305082013,283721133,256096293,247332565,237371792,215500591,187521334,169494164,138359338,108363684,96981175,81694836,65606344,47353815,48567305,3078365610
2002,297549256,291231050,303468327,289981931,260046041,247557791,239745207,220119495,192152516,172172635,144767713,112246353,96991506,83494270,66396931,48548669,50587657,3117057348
2003,298115864,290350382,300464482,296040740,264791160,247896050,241673635,224519934,197339200,174291493,151229853,117052110,97096294,85470653,67314099,49702733,52402407,3155751089
2004,298891283,290020291,297139810,300720478,270042052,248938278,243132232,228502588,202618918,176697308,157071138,122438893,97986279,87200797,68502740,50854774,53952548,3194710407
2005,300552499,289613462,294357160,303294061,275584012,251023618,244179427,231926292,207656855,179926622,161882504,128148543,100066931,88482783,70022274,52031846,55231215,3233980104
2006,303720463,289805287,291949868,303488762,281468271,253962419,244882726,234724024,212500328,183920298,165461024,133768996,102770593,88926730,71302353,52930619,58074728,3273657489
2007,306380447,290739688,290177006,301629307,287767925,257874916,245224029,237089081,217183958,188734703,168073191,139903491,106487950,89045402,72982435,53750214,60635126,3313678869
2008,308853196,292367645,288991554,298492382,293675326,262646599,245603426,239056346,221572977,194091753,170258837,146140488,111029516,89280799,74852635,54599390,62896505,3354409374
2009,311252293,294411809,288257036,295225120,298052028,267962028,246604623,240589996,225474182,199465031,172825481,151822963,116094500,90255455,76539046,55629580,64808713,3395269884
2010,313763895,296470963,287980452,292562711,300302527,273513093,248636726,241716081,228819239,204528690,176263051,156576276,121496375,92328319,77854114,56952931,66389556,3436154999
2011,316704004,298939185,288190807,290258726,300759559,279242634,251599731,242393033,231620880,209194846,180138303,160147953,126866432,94812972,78244719,58179821,69157659,3476451264
2012,319159184,301735442,289147357,288498296,299258336,285442669,255594565,242716721,234087498,213786603,184873262,162835001,132890639,98273481,78412122,59774054,71546737,3518031967
2013,321241659,304707128,290704992,287292894,296415370,291343076,260410298,243071743,236149093,218118597,190144753,165075227,139111588,102507917,78741686,61490857,73623644,3560150522
2014,323031849,307682467,292676289,286596365,293336485,295879372,265749148,244103854,237784092,222062723,195495423,167692132,144874903,107320816,79808503,63013680,75495276,3602603377
2015,324590277,310458468,294913382,286382889,290755124,298403783,271343729,246208159,239005649,225534858,200608262,171189107,149770222,112592879,81911523,64224207,77223574,3645116092
2016,325948095,313401086,297513705,286801705,288725344,299141212,277329697,249389789,239886740,228535031,205388017,175134485,153271789,117848838,84308825,64706313,80473266,3687803937
2017,326937386,316063452,300382891,287858778,287109865,297839524,283727043,253526812,240343273,231150172,210035248,179891271,155867513,123708956,87498142,64948440,83423725,3730312491
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,